None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Sommernacht in Offenbach,Haftbefehl,LyricsData/Sommernacht-in-Offenbach_Haftbefehl.txt,None,None,None,None,ImgData/Sommernacht-in-Offenbach_Haftbefehl.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
314,None,None,None,None,None,None,None,None,None,Haftbefehl,Celo,Abdï,None,None,None,Innenstadt Unzensiert,Celo & Abdi,LyricsData/Innenstadt-Unzensiert_Celo-&-Abdi.txt,None,None,None,None,ImgData/Innenstadt-Unzensiert_Celo-&-Abdi.jpg,Haftbefehl,None,18,None,None,None,None,None,None,None,None,None,None
Sean Davis,None,None,None,None,None,None,None,None,None,Celo,Abdï,None,None,None,None,Meine Stadt,Celo & Abdi,LyricsData/Meine-Stadt_Celo-&-Abdi.txt,None,None,None,None,ImgData/Meine-Stadt_Celo-&-Abdi.jpg,,"9,157",18,None,None,None,None,None,None,None,None,None,None
Prodycem,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Grembranx,Eko Fresh,LyricsData/Grembranx_Eko-Fresh.txt,None,None,None,None,ImgData/Grembranx_Eko-Fresh.jpg,,None,5,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,Jeyz,Azad,None,None,None,None,None,None,None,None,None,Von Bezirk zu Bezirk,Haftbefehl,LyricsData/Von-Bezirk-zu-Bezirk_Haftbefehl.txt,None,None,None,None,ImgData/Von-Bezirk-zu-Bezirk_Haftbefehl.jpg,Azad,None,7,None,None,None,None,None,None,None,None,None,None
Prodycem,None,None,None,None,Capkekz,Tatwaffe,G-Style,None,None,None,None,None,None,None,None,Die City am Dom,Hakan Abi,LyricsData/Die-City-am-Dom_Hakan-Abi.txt,December 2 2011,None,None,None,ImgData/Die-City-am-Dom_Hakan-Abi.jpg,G-Style,None,3,None,None,None,None,None,None,None,None,None,None
Kenji451,None,None,None,None,None,None,None,None,None,Testo,Grim104,None,None,None,None,Teenage Werwolf,Zugezogen Maskulin,LyricsData/Teenage-Werwolf_Zugezogen-Maskulin.txt,October 20 2017,None,None,None,ImgData/Teenage-Werwolf_Zugezogen-Maskulin.jpg,,None,12,None,None,None,None,None,None,None,None,None,None
George Air Brush,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Hölle auf Erden,Silv-R,LyricsData/Hölle-auf-Erden_Silv-R.txt,None,None,None,None,ImgData/Hölle-auf-Erden_Silv-R.jpg,Slow Moe,None,2,None,None,None,None,None,None,None,None,None,None
Dasaeschbeats,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Bunker,Haze76,LyricsData/Bunker_Haze76.txt,April 14 2015,None,None,None,ImgData/Bunker_Haze76.jpg,,None,16,None,None,None,None,None,None,None,None,Legendenstatus by Haze76,None
Sui Generis (Producer),None,None,None,None,None,None,None,None,None,Maxim Martin,None,None,None,None,None,DU=ICH,Maxat,LyricsData/DU=ICH_Maxat.txt,January 19 2015,None,None,None,ImgData/DU=ICH_Maxat.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
Sui Generis (Producer),None,None,None,None,None,None,None,None,None,Maxim Martin,None,None,None,None,None,Graben,Maxat,LyricsData/Graben_Maxat.txt,November 16 2016,None,None,None,ImgData/Graben_Maxat.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
Sui Generis (Producer),None,None,None,None,None,None,None,None,None,Maxim Martin,None,None,None,None,None,Ohne Kopf,Maxat,LyricsData/Ohne-Kopf_Maxat.txt,June 27 2014,None,Maxat,None,ImgData/Ohne-Kopf_Maxat.jpg,,None,2,None,None,None,None,None,None,Anthrazit Studio Paderborn,None,None,None
Sui Generis (Producer),None,None,None,None,None,None,None,None,None,Maxim Martin,None,None,None,None,None,Kopfaufräum,Maxat,LyricsData/Kopfaufräum_Maxat.txt,May 20 2014,None,Maxat,None,ImgData/Kopfaufräum_Maxat.jpg,,None,3,None,None,None,None,None,None,Anthrazit Studio Paderborn,None,None,None
