Artist,Album,Year,Song,Feature1,Feature2,Feature3,Feature4
Cypress Hill,Something For The Blunted,1992,The Phuncky Feel One,None,None,None,None
Cypress Hill,Unreleased & Revamped,1996,Whatta You Know,None,None,None,None
Cypress Hill,Unreleased & Revamped,1996,Hits From The Bong (T-Ray's Mix),None,None,None,None
Cypress Hill,Unreleased & Revamped,1996,Illusions (Q-Tip Remix),None,None,None,None
Cypress Hill,Something For The Blunted,1992,Real Estate,None,None,None,None
Cypress Hill,Something For The Blunted,1992,Light Another,None,None,None,None
Cypress Hill,Unreleased & Revamped,1996,When the Ship Goes Down (Diamond D Remix),None,None,None,None
Cypress Hill,Something For The Blunted,1992,Psycobetabuckdown,None,None,None,None
Cypress Hill,Something For The Blunted,1992,Something For The Blunted,None,None,None,None
Cypress Hill,Cypress Hill,1991,Pigs,None,None,None,None
Cypress Hill,Cypress Hill,1991,How I Could Just Kill a Man,None,None,None,None
Cypress Hill,Cypress Hill,1991,Hand on the Pump,None,None,None,None
Cypress Hill,Cypress Hill,1991,Hole in the Head,None,None,None,None
Cypress Hill,Cypress Hill,1991,Ultraviolet Dreams,None,None,None,None
Cypress Hill,Cypress Hill,1991,Light Another,None,None,None,None
Cypress Hill,Cypress Hill,1991,The Phuncky Feel One,None,None,None,None
Cypress Hill,Cypress Hill,1991,Break It Up,None,None,None,None
Cypress Hill,Cypress Hill,1991,Real Estate,None,None,None,None
Cypress Hill,Cypress Hill,1991,Stoned Is the Way of the Walk,None,None,None,None
Cypress Hill,Cypress Hill,1991,Psycobetabuckdown,None,None,None,None
Cypress Hill,Cypress Hill,1991,Something For The Blunted,None,None,None,None
Cypress Hill,Cypress Hill,1991,Latin Lingo,None,None,None,None
Cypress Hill,Cypress Hill,1991,The Funky Cypress Hill Shit,None,None,None,None
Cypress Hill,Cypress Hill,1991,Tres Equis,None,None,None,None
Cypress Hill,Cypress Hill,1991,Born to Get Busy,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Looking Through the Eye of a Pig,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Checkmate,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,From the Window of my Room,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Prelude to a Come Up (Ft. MC Eiht),MC Eiht,None,None,None
Cypress Hill,Cypress Hill IV,1998,Riot Starter,None,None,None,None
Cypress Hill,Cypress Hill IV,1998,Audio X (Ft. Barron Ricks),Barron Ricks,None,None,None
Cypress Hill,Cypress Hill IV,1998,Steel Magnolia (Ft. Barron Ricks),Barron Ricks,None,None,None
Cypress Hill,Cypress Hill IV,1998,I Remember That Freak Bitch (Ft. Barron Ricks),Barron Ricks,None,None,None
Cypress Hill,Cypress Hill IV,1998,(Goin' All Out) Nothin' to Lose,None,None,None,None
